name,category,price,description,image_url,product_url,source
Emoctan Insecticide - Emamectin Benzoate 5% SG 1.00 kg 250 Gm x 4 Qty (4.6) - 207 1365 4160 Discount : 2795,Pesticide,51.0025044.6207136541602795,1365 4160,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_466817041733208556.webp,https://agribegri.com/products/buy-agribegri-emoctan-emamcitin-banzoate-5-sc-online--braod-spectrum-insecticide.php,agribegri
"Arostel - Azoxystrobin 11% + Tebuconazole 18.3% SC, Broad Spectrum Fungicide 1.00 liter 500 ML x 2 Qty (4.6) - 206 1095 4110 Discount : 3015",Pesticide,"1118.3,1.0050024.6206109541103015",1095 4110,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_19318456721733210100.webp,https://agribegri.com/products/buy-agribegri-arostel-azoxystrobin-11--tebuconazole-183-sc-online--buy-broad-spectrum-fungicide.php,agribegri
Seturn 505 - Chlorpyriphos 50% + Cypermethrin 5% EC Insecticide With Contact and Systemic Action 1.00 liter 1 Ltr x 1 Qty (4.6) - 138 752 1290 Discount : 538,Pesticide,5055051.00114.61387521290538,752 1290,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_4297406611733206338.webp,https://agribegri.com/products/agribegri-seturn-chlorpyrophos-50---cypermetrhin-5--ec-online.php,agribegri
Clorentis Insecticide - Chlorantraniliprole 18.5% SC 30.00 ml 30 ML X 1 Qty (4.6) - 202 217 460 Discount : 243,Pesticide,18.530.003014.6202217460243,217 460,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_8301106561733208381.webp,https://agribegri.com/products/buy-chlorenis-chlorantraniliprole-185--sc--online-agribegri.php,agribegri
Agrigib - Gibberellic Acid 0.001% L 1.00 liter 500 ML x 2 Qty (4.6) - 208 426 960 Discount : 534,Pesticide,0.0011.0050024.6208426960534,426 960,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_10684522411733210493.webp,https://agribegri.com/products/buy-agribegri-agrigib-gibberellic-acid-0001-l-plant-growth-regulator-online.php,agribegri
"Cruzep 50 - Cartap Hydrochloride 50% SP Insecticide, Effective in Controlling All Stages of Insects 1.00 kg 250 Gm x 4 Qty (4.6) - 131 1665 2500 Discount : 835",Pesticide,"5050,1.0025044.613116652500835",1665 2500,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_9291016411733208757.webp,https://agribegri.com/products/buy-agribegri-cruzep-50-cartap-hydrochloride-50-sp-insecticide-online.php,agribegri
"Thiolt 70 - Thiamethoxam 70% WS Powder Insecticide, Systemic Insecticide with Broad-Spectrum Protection 1.00 kg 100 Gm x 10 Qty (4.6) - 279 2229 6300 Discount : 4071",Pesticide,"7070,1.00100104.6279222963004071",2229 6300,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_2075710831733207272.webp,https://agribegri.com/products/thiolt-70-insecticide-thiamethoxam-70-ws.php,agribegri
Thiolt-30 Insecticide - Thiamethoxam 30% FS 1.00 liter 500 ML x 2 Qty (4.6) - 204 907 2350 Discount : 1443,Pesticide,30301.0050024.620490723501443,907 2350,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_5189680971733208954.webp,https://agribegri.com/products/thiolt-30-thiamethoxam-30-fs.php,agribegri
"Thorlet - Thiamethoxam 12.6% + Lambda Cyhalothrin 9.5% Zc, Best Systemic Insecticide for Effective Control Against Sucking Pests 1.00 liter 250 ML x 4 Qty (4.6) - 269 931 2600 Discount : 1669",Pesticide,"12.69.5,1.0025044.626993126001669",931 2600,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_3954674621733206832.webp,https://agribegri.com/products/thorlet-insecticide-thiamethoxam-126-lambda-cyhalothrin-95-zc.php,agribegri
Thiolt-25 Insecticide - Thiamethoxam 25% WG 1.00 kg 250 Gm x 4 Qty (4.5) - 259 693 2060 Discount : 1367,Pesticide,25251.0025044.525969320601367,693 2060,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_4427097821733208140.webp,https://agribegri.com/products/thiolt-25-insecticide-thiamethoxam-25-wg.php,agribegri
Valipro Fungicide - Validamycin 3% L 1.00 liter 500 ML x 2 Qty (4.5) - 81 477 800 Discount : 323,Pesticide,31.0050024.581477800323,477 800,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_17234229031733205021.webp,https://agribegri.com/products/buy-agribegri-valipro-validamycin-3--l-liquid-fungicides-online.php,agribegri
"Empala - Emamectin Benzoate 1.5% + Fipronil 3.5% SC Insecticide, Effective Against Resistant Pests with Systemic and Contact Activity 1.00 liter 250 ML x 4 Qty (4.5) - 141 1144 3640 Discount : 2496",Pesticide,"1.53.5,1.0025044.5141114436402496",1144 3640,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb_13925455601733207058.webp,https://agribegri.com/products/agribegri-empala-emamecitin-benzoate-15---fipronil-35-sc-insecticide.php,agribegri
